ID,SystemCodeNumber,Capacity,Latitude,Longitude,Occupancy,VehicleType,TrafficConditionNearby,QueueLength,IsSpecialDay,LastUpdatedDate,LastUpdatedTime,DateTime,Date,Time,Hour,Minute,DayOfWeek,DayName,WeekOfYear,OccupancyRate,VehicleType_Encoded,TrafficLevel_Encoded
31,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,high,5,0,05-10-2016,14:30:00,2016-10-05 14:30:00,2016-10-05,14:30:00,14,30,2,Wednesday,40,27.38301559792028,3,3
32,BHMBCCMKT01,577,26.14453614,91.73617216,145,car,average,3,0,05-10-2016,14:57:00,2016-10-05 14:57:00,2016-10-05,14:57:00,14,57,2,Wednesday,40,25.12998266897747,3,2
33,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,05-10-2016,15:30:00,2016-10-05 15:30:00,2016-10-05,15:30:00,15,30,2,Wednesday,40,22.357019064124785,3,1
34,BHMBCCMKT01,577,26.14453614,91.73617216,121,car,low,2,0,05-10-2016,16:04:00,2016-10-05 16:04:00,2016-10-05,16:04:00,16,4,2,Wednesday,40,20.97053726169844,3,1
35,BHMBCCMKT01,577,26.14453614,91.73617216,114,bike,low,1,0,05-10-2016,16:30:00,2016-10-05 16:30:00,2016-10-05,16:30:00,16,30,2,Wednesday,40,19.75736568457539,2,1
36,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,06-10-2016,07:57:00,2016-10-06 07:57:00,2016-10-06,07:57:00,7,57,3,Thursday,40,10.051993067590988,3,1
37,BHMBCCMKT01,577,26.14453614,91.73617216,63,car,low,1,0,06-10-2016,08:30:00,2016-10-06 08:30:00,2016-10-06,08:30:00,8,30,3,Thursday,40,10.918544194107453,3,1
38,BHMBCCMKT01,577,26.14453614,91.73617216,70,car,low,1,0,06-10-2016,08:57:00,2016-10-06 08:57:00,2016-10-06,08:57:00,8,57,3,Thursday,40,12.131715771230503,3,1
39,BHMBCCMKT01,577,26.14453614,91.73617216,95,car,low,2,0,06-10-2016,09:30:00,2016-10-06 09:30:00,2016-10-06,09:30:00,9,30,3,Thursday,40,16.464471403812826,3,1
40,BHMBCCMKT01,577,26.14453614,91.73617216,135,car,low,3,0,06-10-2016,10:03:00,2016-10-06 10:03:00,2016-10-06,10:03:00,10,3,3,Thursday,40,23.39688041594454,3,1
41,BHMBCCMKT01,577,26.14453614,91.73617216,160,car,average,3,0,06-10-2016,10:30:00,2016-10-06 10:30:00,2016-10-06,10:30:00,10,30,3,Thursday,40,27.729636048526864,3,2
42,BHMBCCMKT01,577,26.14453614,91.73617216,177,car,average,3,0,06-10-2016,10:57:00,2016-10-06 10:57:00,2016-10-06,10:57:00,10,57,3,Thursday,40,30.675909878682845,3,2
43,BHMBCCMKT01,577,26.14453614,91.73617216,191,cycle,average,4,0,06-10-2016,11:30:00,2016-10-06 11:30:00,2016-10-06,11:30:00,11,30,3,Thursday,40,33.10225303292894,1,2
44,BHMBCCMKT01,577,26.14453614,91.73617216,199,car,high,7,0,06-10-2016,12:04:00,2016-10-06 12:04:00,2016-10-06,12:04:00,12,4,3,Thursday,40,34.48873483535528,3,3
45,BHMBCCMKT01,577,26.14453614,91.73617216,206,car,high,7,0,06-10-2016,12:30:00,2016-10-06 12:30:00,2016-10-06,12:30:00,12,30,3,Thursday,40,35.70190641247834,3,3
46,BHMBCCMKT01,577,26.14453614,91.73617216,198,car,average,5,0,06-10-2016,12:57:00,2016-10-06 12:57:00,2016-10-06,12:57:00,12,57,3,Thursday,40,34.31542461005199,3,2
47,BHMBCCMKT01,577,26.14453614,91.73617216,208,bike,high,7,0,06-10-2016,13:30:00,2016-10-06 13:30:00,2016-10-06,13:30:00,13,30,3,Thursday,40,36.04852686308492,2,3
48,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,average,5,0,06-10-2016,13:57:00,2016-10-06 13:57:00,2016-10-06,13:57:00,13,57,3,Thursday,40,34.66204506065858,3,2
49,BHMBCCMKT01,577,26.14453614,91.73617216,175,cycle,average,3,0,06-10-2016,14:30:00,2016-10-06 14:30:00,2016-10-06,14:30:00,14,30,3,Thursday,40,30.329289428076255,1,2
50,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,2,0,06-10-2016,15:04:00,2016-10-06 15:04:00,2016-10-06,15:04:00,15,4,3,Thursday,40,27.38301559792028,3,1
51,BHMBCCMKT01,577,26.14453614,91.73617216,153,bike,low,2,0,06-10-2016,15:31:00,2016-10-06 15:31:00,2016-10-06,15:31:00,15,31,3,Thursday,40,26.51646447140381,2,1
52,BHMBCCMKT01,577,26.14453614,91.73617216,135,bike,low,1,0,06-10-2016,16:04:00,2016-10-06 16:04:00,2016-10-06,16:04:00,16,4,3,Thursday,40,23.39688041594454,2,1
53,BHMBCCMKT01,577,26.14453614,91.73617216,129,car,low,2,0,06-10-2016,16:30:00,2016-10-06 16:30:00,2016-10-06,16:30:00,16,30,3,Thursday,40,22.357019064124785,3,1
54,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,2,0,07-10-2016,08:03:00,2016-10-07 08:03:00,2016-10-07,08:03:00,8,3,4,Friday,40,10.051993067590988,3,1
55,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,07-10-2016,08:30:00,2016-10-07 08:30:00,2016-10-07,08:30:00,8,30,4,Friday,40,10.571923743500866,3,2
56,BHMBCCMKT01,577,26.14453614,91.73617216,75,car,low,1,0,07-10-2016,09:04:00,2016-10-07 09:04:00,2016-10-07,09:04:00,9,4,4,Friday,40,12.99826689774697,3,1
57,BHMBCCMKT01,577,26.14453614,91.73617216,103,car,low,2,0,07-10-2016,09:30:00,2016-10-07 09:30:00,2016-10-07,09:30:00,9,30,4,Friday,40,17.85095320623917,3,1
58,BHMBCCMKT01,577,26.14453614,91.73617216,128,bike,low,2,0,07-10-2016,09:57:00,2016-10-07 09:57:00,2016-10-07,09:57:00,9,57,4,Friday,40,22.183708838821488,2,1
59,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,high,5,0,07-10-2016,10:30:00,2016-10-07 10:30:00,2016-10-07,10:30:00,10,30,4,Friday,40,29.809358752166375,4,3
60,BHMBCCMKT01,577,26.14453614,91.73617216,188,car,average,3,0,07-10-2016,10:57:00,2016-10-07 10:57:00,2016-10-07,10:57:00,10,57,4,Friday,40,32.582322357019066,3,2
61,BHMBCCMKT01,577,26.14453614,91.73617216,199,bike,average,4,0,07-10-2016,11:30:00,2016-10-07 11:30:00,2016-10-07,11:30:00,11,30,4,Friday,40,34.48873483535528,2,2
62,BHMBCCMKT01,577,26.14453614,91.73617216,210,car,high,7,0,07-10-2016,12:03:00,2016-10-07 12:03:00,2016-10-07,12:03:00,12,3,4,Friday,40,36.3951473136915,3,3
63,BHMBCCMKT01,577,26.14453614,91.73617216,206,bike,high,7,0,07-10-2016,12:30:00,2016-10-07 12:30:00,2016-10-07,12:30:00,12,30,4,Friday,40,35.70190641247834,2,3
64,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,high,7,0,07-10-2016,13:04:00,2016-10-07 13:04:00,2016-10-07,13:04:00,13,4,4,Friday,40,34.66204506065858,3,3
65,BHMBCCMKT01,577,26.14453614,91.73617216,201,car,high,7,0,07-10-2016,13:30:00,2016-10-07 13:30:00,2016-10-07,13:30:00,13,30,4,Friday,40,34.835355285961874,3,3
66,BHMBCCMKT01,577,26.14453614,91.73617216,193,bike,average,3,0,07-10-2016,14:03:00,2016-10-07 14:03:00,2016-10-07,14:03:00,14,3,4,Friday,40,33.44887348353553,2,2
67,BHMBCCMKT01,577,26.14453614,91.73617216,181,car,average,4,0,07-10-2016,14:30:00,2016-10-07 14:30:00,2016-10-07,14:30:00,14,30,4,Friday,40,31.369150779896017,3,2
68,BHMBCCMKT01,577,26.14453614,91.73617216,172,truck,low,2,0,07-10-2016,15:04:00,2016-10-07 15:04:00,2016-10-07,15:04:00,15,4,4,Friday,40,29.809358752166375,4,1
69,BHMBCCMKT01,577,26.14453614,91.73617216,159,cycle,low,2,0,07-10-2016,15:30:00,2016-10-07 15:30:00,2016-10-07,15:30:00,15,30,4,Friday,40,27.55632582322357,1,1
70,BHMBCCMKT01,577,26.14453614,91.73617216,158,cycle,low,2,0,07-10-2016,15:57:00,2016-10-07 15:57:00,2016-10-07,15:57:00,15,57,4,Friday,40,27.38301559792028,1,1
71,BHMBCCMKT01,577,26.14453614,91.73617216,132,car,low,2,0,07-10-2016,16:30:00,2016-10-07 16:30:00,2016-10-07,16:30:00,16,30,4,Friday,40,22.876949740034664,3,1
72,BHMBCCMKT01,577,26.14453614,91.73617216,58,car,low,1,0,08-10-2016,07:57:00,2016-10-08 07:57:00,2016-10-08,07:57:00,7,57,5,Saturday,40,10.051993067590988,3,1
73,BHMBCCMKT01,577,26.14453614,91.73617216,61,car,average,2,0,08-10-2016,08:30:00,2016-10-08 08:30:00,2016-10-08,08:30:00,8,30,5,Saturday,40,10.571923743500866,3,2
74,BHMBCCMKT01,577,26.14453614,91.73617216,75,truck,low,1,0,08-10-2016,08:57:00,2016-10-08 08:57:00,2016-10-08,08:57:00,8,57,5,Saturday,40,12.99826689774697,4,1
75,BHMBCCMKT01,577,26.14453614,91.73617216,104,car,low,2,0,08-10-2016,09:30:00,2016-10-08 09:30:00,2016-10-08,09:30:00,9,30,5,Saturday,40,18.02426343154246,3,1
76,BHMBCCMKT01,577,26.14453614,91.73617216,158,car,low,3,0,08-10-2016,10:04:00,2016-10-08 10:04:00,2016-10-08,10:04:00,10,4,5,Saturday,40,27.38301559792028,3,1
77,BHMBCCMKT01,577,26.14453614,91.73617216,191,truck,average,3,0,08-10-2016,10:30:00,2016-10-08 10:30:00,2016-10-08,10:30:00,10,30,5,Saturday,40,33.10225303292894,4,2
78,BHMBCCMKT01,577,26.14453614,91.73617216,223,truck,average,4,0,08-10-2016,10:57:00,2016-10-08 10:57:00,2016-10-08,10:57:00,10,57,5,Saturday,40,38.64818024263432,4,2
79,BHMBCCMKT01,577,26.14453614,91.73617216,254,car,average,4,0,08-10-2016,11:30:00,2016-10-08 11:30:00,2016-10-08,11:30:00,11,30,5,Saturday,40,44.0207972270364,3,2
80,BHMBCCMKT01,577,26.14453614,91.73617216,306,car,high,7,0,08-10-2016,12:04:00,2016-10-08 12:04:00,2016-10-08,12:04:00,12,4,5,Saturday,40,53.03292894280762,3,3
81,BHMBCCMKT01,577,26.14453614,91.73617216,320,car,high,8,0,08-10-2016,12:30:00,2016-10-08 12:30:00,2016-10-08,12:30:00,12,30,5,Saturday,40,55.45927209705373,3,3
82,BHMBCCMKT01,577,26.14453614,91.73617216,348,car,high,7,0,08-10-2016,13:04:00,2016-10-08 13:04:00,2016-10-08,13:04:00,13,4,5,Saturday,40,60.31195840554593,3,3
83,BHMBCCMKT01,577,26.14453614,91.73617216,357,car,high,7,0,08-10-2016,13:30:00,2016-10-08 13:30:00,2016-10-08,13:30:00,13,30,5,Saturday,40,61.871750433275565,3,3
84,BHMBCCMKT01,577,26.14453614,91.73617216,395,bike,average,4,0,08-10-2016,14:03:00,2016-10-08 14:03:00,2016-10-08,14:03:00,14,3,5,Saturday,40,68.4575389948007,2,2
85,BHMBCCMKT01,577,26.14453614,91.73617216,400,car,average,4,0,08-10-2016,14:30:00,2016-10-08 14:30:00,2016-10-08,14:30:00,14,30,5,Saturday,40,69.32409012131716,3,2
86,BHMBCCMKT01,577,26.14453614,91.73617216,395,car,average,4,0,08-10-2016,14:57:00,2016-10-08 14:57:00,2016-10-08,14:57:00,14,57,5,Saturday,40,68.4575389948007,3,2
87,BHMBCCMKT01,577,26.14453614,91.73617216,406,car,average,3,0,08-10-2016,15:30:00,2016-10-08 15:30:00,2016-10-08,15:30:00,15,30,5,Saturday,40,70.36395147313691,3,2
88,BHMBCCMKT01,577,26.14453614,91.73617216,381,car,low,2,0,08-10-2016,16:04:00,2016-10-08 16:04:00,2016-10-08,16:04:00,16,4,5,Saturday,40,66.03119584055459,3,1
89,BHMBCCMKT01,577,26.14453614,91.73617216,365,truck,low,2,0,08-10-2016,16:30:00,2016-10-08 16:30:00,2016-10-08,16:30:00,16,30,5,Saturday,40,63.258232235701904,4,1
90,BHMBCCMKT01,577,26.14453614,91.73617216,42,car,low,2,1,09-10-2016,08:04:00,2016-10-09 08:04:00,2016-10-09,08:04:00,8,4,6,Sunday,40,7.279029462738301,3,1
91,BHMBCCMKT01,577,26.14453614,91.73617216,42,bike,low,2,1,09-10-2016,08:30:00,2016-10-09 08:30:00,2016-10-09,08:30:00,8,30,6,Sunday,40,7.279029462738301,2,1
92,BHMBCCMKT01,577,26.14453614,91.73617216,43,car,low,2,1,09-10-2016,09:04:00,2016-10-09 09:04:00,2016-10-09,09:04:00,9,4,6,Sunday,40,7.452339688041594,3,1
93,BHMBCCMKT01,577,26.14453614,91.73617216,43,cycle,low,2,1,09-10-2016,09:30:00,2016-10-09 09:30:00,2016-10-09,09:30:00,9,30,6,Sunday,40,7.452339688041594,1,1
94,BHMBCCMKT01,577,26.14453614,91.73617216,50,car,average,3,1,09-10-2016,09:57:00,2016-10-09 09:57:00,2016-10-09,09:57:00,9,57,6,Sunday,40,8.665511265164644,3,2
95,BHMBCCMKT01,577,26.14453614,91.73617216,64,cycle,high,5,1,09-10-2016,10:30:00,2016-10-09 10:30:00,2016-10-09,10:30:00,10,30,6,Sunday,40,11.091854419410744,1,3
96,BHMBCCMKT01,577,26.14453614,91.73617216,100,truck,average,6,1,09-10-2016,11:04:00,2016-10-09 11:04:00,2016-10-09,11:04:00,11,4,6,Sunday,40,17.33102253032929,4,2
97,BHMBCCMKT01,577,26.14453614,91.73617216,126,car,average,6,1,09-10-2016,11:30:00,2016-10-09 11:30:00,2016-10-09,11:30:00,11,30,6,Sunday,40,21.837088388214905,3,2
98,BHMBCCMKT01,577,26.14453614,91.73617216,148,car,average,6,1,09-10-2016,11:57:00,2016-10-09 11:57:00,2016-10-09,11:57:00,11,57,6,Sunday,40,25.64991334488735,3,2
99,BHMBCCMKT01,577,26.14453614,91.73617216,170,truck,high,9,1,09-10-2016,12:30:00,2016-10-09 12:30:00,2016-10-09,12:30:00,12,30,6,Sunday,40,29.462738301559792,4,3
100,BHMBCCMKT01,577,26.14453614,91.73617216,189,car,high,8,1,09-10-2016,13:04:00,2016-10-09 13:04:00,2016-10-09,13:04:00,13,4,6,Sunday,40,32.755632582322356,3,3
101,BHMBCCMKT01,577,26.14453614,91.73617216,205,bike,high,9,1,09-10-2016,13:30:00,2016-10-09 13:30:00,2016-10-09,13:30:00,13,30,6,Sunday,40,35.52859618717504,2,3
102,BHMBCCMKT01,577,26.14453614,91.73617216,208,cycle,high,7,1,09-10-2016,14:03:00,2016-10-09 14:03:00,2016-10-09,14:03:00,14,3,6,Sunday,40,36.04852686308492,1,3
103,BHMBCCMKT01,577,26.14453614,91.73617216,209,car,average,5,1,09-10-2016,14:30:00,2016-10-09 14:30:00,2016-10-09,14:30:00,14,30,6,Sunday,40,36.22183708838821,3,2
104,BHMBCCMKT01,577,26.14453614,91.73617216,191,car,low,3,1,09-10-2016,15:04:00,2016-10-09 15:04:00,2016-10-09,15:04:00,15,4,6,Sunday,40,33.10225303292894,3,1
105,BHMBCCMKT01,577,26.14453614,91.73617216,180,car,low,3,1,09-10-2016,15:30:00,2016-10-09 15:30:00,2016-10-09,15:30:00,15,30,6,Sunday,40,31.195840554592717,3,1
106,BHMBCCMKT01,577,26.14453614,91.73617216,155,truck,low,3,1,09-10-2016,16:03:00,2016-10-09 16:03:00,2016-10-09,16:03:00,16,3,6,Sunday,40,26.8630849220104,4,1
107,BHMBCCMKT01,577,26.14453614,91.73617216,133,car,low,2,1,09-10-2016,16:30:00,2016-10-09 16:30:00,2016-10-09,16:30:00,16,30,6,Sunday,40,23.050259965337954,3,1
108,BHMBCCMKT01,577,26.14453614,91.73617216,54,bike,low,1,0,10-10-2016,08:04:00,2016-10-10 08:04:00,2016-10-10,08:04:00,8,4,0,Monday,41,9.358752166377817,2,1
109,BHMBCCMKT01,577,26.14453614,91.73617216,56,truck,low,1,0,10-10-2016,08:30:00,2016-10-10 08:30:00,2016-10-10,08:30:00,8,30,0,Monday,41,9.705372616984402,4,1
110,BHMBCCMKT01,577,26.14453614,91.73617216,65,car,low,1,0,10-10-2016,09:04:00,2016-10-10 09:04:00,2016-10-10,09:04:00,9,4,0,Monday,41,11.265164644714037,3,1
111,BHMBCCMKT01,577,26.14453614,91.73617216,73,bike,low,2,0,10-10-2016,09:30:00,2016-10-10 09:30:00,2016-10-10,09:30:00,9,30,0,Monday,41,12.65164644714038,2,1
112,BHMBCCMKT01,577,26.14453614,91.73617216,92,cycle,low,2,0,10-10-2016,10:03:00,2016-10-10 10:03:00,2016-10-10,10:03:00,10,3,0,Monday,41,15.944540727902945,1,1
113,BHMBCCMKT01,577,26.14453614,91.73617216,113,cycle,average,4,0,10-10-2016,10:30:00,2016-10-10 10:30:00,2016-10-10,10:30:00,10,30,0,Monday,41,19.584055459272097,1,2
114,BHMBCCMKT01,577,26.14453614,91.73617216,144,car,average,3,0,10-10-2016,10:57:00,2016-10-10 10:57:00,2016-10-10,10:57:00,10,57,0,Monday,41,24.956672443674176,3,2
115,BHMBCCMKT01,577,26.14453614,91.73617216,149,car,average,4,0,10-10-2016,11:30:00,2016-10-10 11:30:00,2016-10-10,11:30:00,11,30,0,Monday,41,25.82322357019064,3,2
116,BHMBCCMKT01,577,26.14453614,91.73617216,159,car,average,4,0,10-10-2016,11:57:00,2016-10-10 11:57:00,2016-10-10,11:57:00,11,57,0,Monday,41,27.55632582322357,3,2
117,BHMBCCMKT01,577,26.14453614,91.73617216,171,car,high,6,0,10-10-2016,12:30:00,2016-10-10 12:30:00,2016-10-10,12:30:00,12,30,0,Monday,41,29.636048526863085,3,3
118,BHMBCCMKT01,577,26.14453614,91.73617216,176,truck,average,5,0,10-10-2016,13:04:00,2016-10-10 13:04:00,2016-10-10,13:04:00,13,4,0,Monday,41,30.502599653379548,4,2
119,BHMBCCMKT01,577,26.14453614,91.73617216,172,car,high,6,0,10-10-2016,13:30:00,2016-10-10 13:30:00,2016-10-10,13:30:00,13,30,0,Monday,41,29.809358752166375,3,3
120,BHMBCCMKT01,577,26.14453614,91.73617216,161,car,high,5,0,10-10-2016,14:03:00,2016-10-10 14:03:00,2016-10-10,14:03:00,14,3,0,Monday,41,27.902946273830153,3,3
121,BHMBCCMKT01,577,26.14453614,91.73617216,154,car,average,3,0,10-10-2016,14:30:00,2016-10-10 14:30:00,2016-10-10,14:30:00,14,30,0,Monday,41,26.689774696707108,3,2
122,BHMBCCMKT01,577,26.14453614,91.73617216,137,car,average,4,0,10-10-2016,14:57:00,2016-10-10 14:57:00,2016-10-10,14:57:00,14,57,0,Monday,41,23.743500866551127,3,2
123,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,low,1,0,10-10-2016,15:30:00,2016-10-10 15:30:00,2016-10-10,15:30:00,15,30,0,Monday,41,22.357019064124785,2,1
124,BHMBCCMKT01,577,26.14453614,91.73617216,130,car,average,3,0,10-10-2016,15:57:00,2016-10-10 15:57:00,2016-10-10,15:57:00,15,57,0,Monday,41,22.530329289428074,3,2
125,BHMBCCMKT01,577,26.14453614,91.73617216,114,truck,low,2,0,10-10-2016,16:30:00,2016-10-10 16:30:00,2016-10-10,16:30:00,16,30,0,Monday,41,19.75736568457539,4,1
126,BHMBCCMKT01,577,26.14453614,91.73617216,56,bike,average,1,0,11-10-2016,08:04:00,2016-10-11 08:04:00,2016-10-11,08:04:00,8,4,1,Tuesday,41,9.705372616984402,2,2
127,BHMBCCMKT01,577,26.14453614,91.73617216,64,car,low,1,0,11-10-2016,08:30:00,2016-10-11 08:30:00,2016-10-11,08:30:00,8,30,1,Tuesday,41,11.091854419410744,3,1
128,BHMBCCMKT01,577,26.14453614,91.73617216,74,truck,low,1,0,11-10-2016,08:57:00,2016-10-11 08:57:00,2016-10-11,08:57:00,8,57,1,Tuesday,41,12.824956672443674,4,1
129,BHMBCCMKT01,577,26.14453614,91.73617216,93,bike,low,2,0,11-10-2016,09:30:00,2016-10-11 09:30:00,2016-10-11,09:30:00,9,30,1,Tuesday,41,16.11785095320624,2,1
130,BHMBCCMKT01,577,26.14453614,91.73617216,129,bike,average,2,0,11-10-2016,09:57:00,2016-10-11 09:57:00,2016-10-11,09:57:00,9,57,1,Tuesday,41,22.357019064124785,2,2
131,BHMBCCMKT01,577,26.14453614,91.73617216,167,car,average,3,0,11-10-2016,10:30:00,2016-10-11 10:30:00,2016-10-11,10:30:00,10,30,1,Tuesday,41,28.942807625649912,3,2
132,BHMBCCMKT01,577,26.14453614,91.73617216,200,car,average,3,0,11-10-2016,10:57:00,2016-10-11 10:57:00,2016-10-11,10:57:00,10,57,1,Tuesday,41,34.66204506065858,3,2
133,BHMBCCMKT01,577,26.14453614,91.73617216,219,car,average,5,0,11-10-2016,11:30:00,2016-10-11 11:30:00,2016-10-11,11:30:00,11,30,1,Tuesday,41,37.954939341421145,3,2
